# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=31645
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	4.822391648112376;	0.9816034608276134;
-2212;	0.938;	-1;	15.880252597382857;	0.9982600920670176;
-2212;	0.938;	-1;	1.0530354812744962;	0.7467157995434389;
-2212;	0.938;	-1;	13.164537675732406;	0.9974711989881649;
-2212;	0.938;	-1;	2.220729476131798;	0.9211962386753403;
-2212;	0.938;	-1;	3.2741169806357804;	0.9613268570730513;
-2212;	0.938;	-1;	3.9350491327083836;	0.9727458288527915;
-2212;	0.938;	-1;	5.553949283535186;	0.9860363008681445;
-2212;	0.938;	-1;	21.777262333571525;	0.9990736708307235;
-2212;	0.938;	-1;	1.643329109287607;	0.8684809902646055;
-2212;	0.938;	-1;	2.055465495180729;	0.9097489720044475;
-2212;	0.938;	-1;	5.93646316830872;	0.9877459469130664;
-2212;	0.938;	-1;	12.132025857644798;	0.9970244499656963;
-2212;	0.938;	-1;	1.8279743039531493;	0.8897033499084916;
-2212;	0.938;	-1;	2.831659415171366;	0.9492736424518173;
-2212;	0.938;	-1;	9.608786894425492;	0.9952690529490212;
-2212;	0.938;	-1;	0.6643503494158786;	0.577978920992373;
-2212;	0.938;	-1;	3.854608372568736;	0.9716448734872976;
-2212;	0.938;	-1;	4.954654792515519;	0.9825473146176502;
-2212;	0.938;	-1;	9.627272778353225;	0.9952870757230712;
-2212;	0.938;	-1;	3.4139773346286493;	0.9642662972814791;
-2212;	0.938;	-1;	21.257342116581203;	0.9990278705237284;
-2212;	0.938;	-1;	3.0904330767264643;	0.9568949639856282;
-2212;	0.938;	-1;	2.459314439622148;	0.9343463185580771;
-2212;	0.938;	-1;	11.659176057371164;	0.9967793912327991;
-2212;	0.938;	-1;	11.108827331285692;	0.996454116021114;
-2212;	0.938;	-1;	2.4094729109165565;	0.9318762192849861;
-2212;	0.938;	-1;	1.7307951130674017;	0.8791885617904588;
-2212;	0.938;	-1;	1.444245015757368;	0.8386450191101793;
-2212;	0.938;	-1;	3.4125892958823743;	0.9642387637035862;
-2212;	0.938;	-1;	3.5540780110318346;	0.9668924177036914;
-2212;	0.938;	-1;	4.821332481693854;	0.9815955989085781;
-2212;	0.938;	-1;	1.903764320609303;	0.8970283187448783;
-2212;	0.938;	-1;	4.297197777471384;	0.9769954161299804;
-2212;	0.938;	-1;	2.7936854935351367;	0.9479917043128231;
-2212;	0.938;	-1;	7.518611854413088;	0.9923075171687905;
-2212;	0.938;	-1;	9.0699458474406;	0.9946948270576755;
-2212;	0.938;	-1;	10.263461294590241;	0.9958497166258272;
-2212;	0.938;	-1;	4.19521372708334;	0.975903952077095;
-2212;	0.938;	-1;	9.675850124335328;	0.9953339492889501;
-2212;	0.938;	-1;	4.292925493353571;	0.9769511770693464;
-2212;	0.938;	-1;	5.844094078819232;	0.9873628917653199;
-2212;	0.938;	-1;	8.243208395687265;	0.9935880457833671;
-2212;	0.938;	-1;	4.81563903981333;	0.9815532522804552;
-2212;	0.938;	-1;	3.164017263543611;	0.9587557271676072;
-2212;	0.938;	-1;	0.42630497733570244;	0.41375576015055454;
