# hega-rs ver.0.2.9 particle compilation : Particles([-2212]); total-items=49248
#	 sourceUrQmdF19 in Lab: false
id;	mass;	charge;	p;	beta;
-2212;	0.938;	-1;	1.4111435984172553;	0.8328019566447479;
-2212;	0.938;	-1;	1.0118198304387;	0.7333523246274009;
-2212;	0.938;	-1;	1.2325319458890305;	0.7957652343106498;
-2212;	0.938;	-1;	0.8043593336824034;	0.6509589979628946;
-2212;	0.938;	-1;	1.8596950935032335;	0.8928560839660655;
-2212;	0.938;	-1;	1.8014361974460822;	0.8869641094680887;
-2212;	0.938;	-1;	0.39137405088866073;	0.3850686451978028;
-2212;	0.938;	-1;	1.3105833644160299;	0.8131846096417825;
-2212;	0.938;	-1;	1.6561935903815712;	0.8701370253378993;
-2212;	0.938;	-1;	2.0771000547041543;	0.9113780365712713;
-2212;	0.938;	-1;	0.9649923257611949;	0.7170643592968415;
-2212;	0.938;	-1;	1.744903953698885;	0.8808003719844137;
-2212;	0.938;	-1;	1.3532752015599046;	0.8218745344202992;
-2212;	0.938;	-1;	1.8002556395090117;	0.8868400327176812;
-2212;	0.938;	-1;	0.8441857425193818;	0.6689584895757608;
-2212;	0.938;	-1;	0.39654991172800685;	0.3893932447088574;
-2212;	0.938;	-1;	1.3499959796106802;	0.8212266437745456;
-2212;	0.938;	-1;	4.517468164624074;	0.9791160542278015;
-2212;	0.938;	-1;	1.6918365721652904;	0.8745759360347292;
-2212;	0.938;	-1;	1.1863417882229388;	0.7844277171220739;
-2212;	0.938;	-1;	2.4714413713596364;	0.9349276719135045;
-2212;	0.938;	-1;	2.029615110003865;	0.9077457733344144;
-2212;	0.938;	-1;	1.400368442176915;	0.8308376976630164;
-2212;	0.938;	-1;	1.4910003575574218;	0.846431921859841;
-2212;	0.938;	-1;	1.2555167072073912;	0.801112707611113;
-2212;	0.938;	-1;	2.2853912191185124;	0.9251112378766525;
-2212;	0.938;	-1;	0.8745784327142992;	0.6819480107319397;
-2212;	0.938;	-1;	0.614261035841441;	0.5478448501017533;
-2212;	0.938;	-1;	1.1108991864453768;	0.7640613253515984;
-2212;	0.938;	-1;	1.1995272051629717;	0.7877473121333134;
-2212;	0.938;	-1;	1.4918544923457684;	0.8465693284707941;
-2212;	0.938;	-1;	1.0169190186268522;	0.7350535857311031;
-2212;	0.938;	-1;	1.055863145239003;	0.7476009061327623;
-2212;	0.938;	-1;	0.538943028944628;	0.49818837641968483;
-2212;	0.938;	-1;	1.5316113033746521;	0.8527821701051662;
-2212;	0.938;	-1;	0.6693560646807423;	0.5808681121442172;
-2212;	0.938;	-1;	1.4846235138852544;	0.8454006974286941;
-2212;	0.938;	-1;	2.289786768264897;	0.9253671245415033;
-2212;	0.938;	-1;	1.8948481682076799;	0.8962029999569743;
-2212;	0.938;	-1;	2.5048486442763367;	0.9364911116513158;
-2212;	0.938;	-1;	0.9806508686315482;	0.7226469641210675;
-2212;	0.938;	-1;	1.5471971560379756;	0.8551231637888456;
-2212;	0.938;	-1;	1.0750772549175245;	0.7535111930479313;
-2212;	0.938;	-1;	1.1054936619058473;	0.7625073054808379;
-2212;	0.938;	-1;	1.117348693472633;	0.7658982340485115;
-2212;	0.938;	-1;	1.2541109618426274;	0.8007910499104917;
-2212;	0.938;	-1;	1.0464471119206358;	0.7446380378455072;
-2212;	0.938;	-1;	0.5498607254841902;	0.5057185800985102;
-2212;	0.938;	-1;	1.1005644089811373;	0.7610786076773377;
-2212;	0.938;	-1;	1.4437351792070456;	0.8385571552485234;
-2212;	0.938;	-1;	0.5631049842036563;	0.5147007171179213;
-2212;	0.938;	-1;	1.316398597822863;	0.8144014601236448;
